_id,username,orderId,cartItems,totalPrice,paymentDetails,billingAddress.fullName,billingAddress.addressLine1,billingAddress.addressLine2,billingAddress.country,purchaseDate
,mlfbukjr,XNGbPmKzX9lzcp,"[{'_id': 'vpvva3gsmbq5ekwb7osxbfty', 'asin': 'JRMAU9OJR1', 'title': 'KFnMr ilYGoYW', 'imgUrl': 'https://www.example.com/image.jpg', 'productURL': 'https://www.example.com/product', 'stars': 1.0, 'price': 91.56, 'listPrice': 149.4, 'category_id': 68, 'Category': 'Random Category', 'quantity': 9, 'numberOfReviews': 75, 'reviews': []}, {'_id': 'a2eaetmu7se9c3iki1o9olu7', 'asin': 'BG9C8WMC9M', 'title': 'MGeOLyQSNwgKXZZhjKJFPdKmVqvwmPTXApJ', 'imgUrl': 'https://www.example.com/image.jpg', 'productURL': 'https://www.example.com/product', 'stars': 2.8, 'price': 86.13, 'listPrice': 71.33, 'category_id': 91, 'Category': 'Random Category', 'quantity': 1, 'numberOfReviews': 35, 'reviews': []}]",383.81,754272537590476,zhYvsXDjh,KOZgHumFIcC,CMqMaGgUik,Random Country,2023-12-12T00:00:00.000000+00:00
,nnajrjyz,QYCYq8DP1IUhRO,"[{'_id': 'yf166b4na7sb3aagu04osi1o', 'asin': 'Q5CAQXMPWQ', 'title': 'teKPxVBBtPOntSVdTFiZ', 'imgUrl': 'https://www.example.com/image.jpg', 'productURL': 'https://www.example.com/product', 'stars': 3.6, 'price': 25.38, 'listPrice': 133.57, 'category_id': 5, 'Category': 'Random Category', 'quantity': 2, 'numberOfReviews': 93, 'reviews': []}, {'_id': 't1r8ja2bm2rqkl89ain8u8pb', 'asin': 'H7URD4F4MQ', 'title': 'YuVjUslHnqCjICkqgATPLYVfFvbaovcybuJNH', 'imgUrl': 'https://www.example.com/image.jpg', 'productURL': 'https://www.example.com/product', 'stars': 1.5, 'price': 38.73, 'listPrice': 158.11, 'category_id': 36, 'Category': 'Random Category', 'quantity': 9, 'numberOfReviews': 64, 'reviews': []}, {'_id': 'eljjb5x0p6zbelo93suz3ea5', 'asin': '0YJWHVES70', 'title': 'xNozNpdnqnRcMaacTWA ', 'imgUrl': 'https://www.example.com/image.jpg', 'productURL': 'https://www.example.com/product', 'stars': 0.3, 'price': 52.38, 'listPrice': 197.21, 'category_id': 29, 'Category': 'Random Category', 'quantity': 6, 'numberOfReviews': 43, 'reviews': []}, {'_id': 'y3h27816y6agvim1gzoqerp0', 'asin': '2IYIGFTI8C', 'title': 'rmzBFVyjgiBZsclGNhnKnmrvBoOKC', 'imgUrl': 'https://www.example.com/image.jpg', 'productURL': 'https://www.example.com/product', 'stars': 0.6, 'price': 77.67, 'listPrice': 36.52, 'category_id': 43, 'Category': 'Random Category', 'quantity': 9, 'numberOfReviews': 26, 'reviews': []}]",55.31,693304050710187,imaCviUqQhU,swjESFWnyqUJ XXnKJujcTjy,VPedmwXzQFhS,Random Country,2023-12-11T00:00:00.000000+00:00
,hnjubiiq,nK1mtrOaZV5Rm9,"[{'_id': '55m8u0kqxu410wl6k3yocelv', 'asin': 'XUF6TUJNWY', 'title': 'uozvZScyYgZAjjkYLuNgsHkw GjTkphFUTGj', 'imgUrl': 'https://www.example.com/image.jpg', 'productURL': 'https://www.example.com/product', 'stars': 3.1, 'price': 57.47, 'listPrice': 60.52, 'category_id': 28, 'Category': 'Random Category', 'quantity': 7, 'numberOfReviews': 7, 'reviews': []}, {'_id': '3k1kj50moaz3j7hxg8nblouh', 'asin': '6582NO15T3', 'title': 'GLFDKXiNlAvqchplhyotHHihBnElz iuuuG', 'imgUrl': 'https://www.example.com/image.jpg', 'productURL': 'https://www.example.com/product', 'stars': 4.8, 'price': 87.43, 'listPrice': 109.33, 'category_id': 4, 'Category': 'Random Category', 'quantity': 2, 'numberOfReviews': 39, 'reviews': []}, {'_id': 'ife6hum46uqfasboy3haapw6', 'asin': 'SO0YRBANTD', 'title': 'yJcOMtAhKUrTwrntvwjRjIxpJmahLtNVuGLzFCmwksGdARn', 'imgUrl': 'https://www.example.com/image.jpg', 'productURL': 'https://www.example.com/product', 'stars': 5.0, 'price': 30.48, 'listPrice': 180.86, 'category_id': 58, 'Category': 'Random Category', 'quantity': 1, 'numberOfReviews': 10, 'reviews': []}, {'_id': 'jgud9qujy7l5cduhut6mk6th', 'asin': 'A5GG7FK1FO', 'title': 'BoZucAjjRrppvWDxAObjNqC', 'imgUrl': 'https://www.example.com/image.jpg', 'productURL': 'https://www.example.com/product', 'stars': 1.2, 'price': 35.49, 'listPrice': 74.87, 'category_id': 7, 'Category': 'Random Category', 'quantity': 10, 'numberOfReviews': 67, 'reviews': []}]",492.62,712480835328646,HabMv,yWuwiCJvqINsxgGyUmqqmQBRCPHR,UmGmi,Random Country,2023-07-20T00:00:00.000000+00:00
,dzbftfsf,EQp6cZtF0ptOFk,"[{'_id': 'b1a2l231fhljnxtvm0n5ogw6', 'asin': '1ZWWMHQXNR', 'title': 'BYoPk ZC  iECmVubR', 'imgUrl': 'https://www.example.com/image.jpg', 'productURL': 'https://www.example.com/product', 'stars': 2.1, 'price': 19.79, 'listPrice': 21.41, 'category_id': 23, 'Category': 'Random Category', 'quantity': 9, 'numberOfReviews': 4, 'reviews': []}, {'_id': 'b7n7puvq6lex90vsuvx1lzti', 'asin': 'AYRG2HDUXH', 'title': 'TRbwSUlbuzzxsdbQbeERecVXxPFAtHQvXAeUsT', 'imgUrl': 'https://www.example.com/image.jpg', 'productURL': 'https://www.example.com/product', 'stars': 2.3, 'price': 89.09, 'listPrice': 55.6, 'category_id': 84, 'Category': 'Random Category', 'quantity': 10, 'numberOfReviews': 100, 'reviews': []}]",163.51,684377574301379,PTwY KRvE,SWZRDkA EEBRFESViTqPNdyIGMNlo,TVrFXtG,Random Country,2021-04-03T00:00:00.000000+00:00
,yftjkwbl,jZvmK8NXcXp6z6,"[{'_id': '8qem906u8zeopi1jtjixctla', 'asin': 'KZ5YX6YLBN', 'title': 'TKZUCAEKSuxNXwkLeTHBXssQh', 'imgUrl': 'https://www.example.com/image.jpg', 'productURL': 'https://www.example.com/product', 'stars': 4.0, 'price': 38.47, 'listPrice': 155.38, 'category_id': 99, 'Category': 'Random Category', 'quantity': 2, 'numberOfReviews': 74, 'reviews': []}]",393.48,771516130078951,zfAtAlucPji,EnPNCwgEgeAkDGNcvuHBQlHJzB,AoGLGy,Random Country,2022-05-20T00:00:00.000000+00:00
,wbduheqo,IEJ2hfv6iWaFKc,"[{'_id': 'vabhm5082coaqr4sm191kz57', 'asin': '3OZ7HOHUUK', 'title': 'KoRUwlbXEghbFYNuKfnPPcqBUxCMAlj', 'imgUrl': 'https://www.example.com/image.jpg', 'productURL': 'https://www.example.com/product', 'stars': 2.0, 'price': 46.04, 'listPrice': 197.28, 'category_id': 82, 'Category': 'Random Category', 'quantity': 5, 'numberOfReviews': 43, 'reviews': []}, {'_id': 'wf6xubesd1f3zs9vdixqs6bs', 'asin': 'U22D5DC6ZC', 'title': 'hQEIihEISjVocgDzImnsyGDl', 'imgUrl': 'https://www.example.com/image.jpg', 'productURL': 'https://www.example.com/product', 'stars': 3.3, 'price': 38.74, 'listPrice': 142.88, 'category_id': 61, 'Category': 'Random Category', 'quantity': 5, 'numberOfReviews': 71, 'reviews': []}, {'_id': 'd7gf97eblyym32hj84x3qknf', 'asin': 'CZYIVQF85R', 'title': 'UvAcHPRLgfUiqGLZO', 'imgUrl': 'https://www.example.com/image.jpg', 'productURL': 'https://www.example.com/product', 'stars': 0.4, 'price': 18.16, 'listPrice': 124.9, 'category_id': 57, 'Category': 'Random Category', 'quantity': 7, 'numberOfReviews': 8, 'reviews': []}, {'_id': 'oozx5k7ba8d6lh80mgf3o01v', 'asin': 'K5IPCDL18J', 'title': 'dajOreBmDBROmLEKJFfebMqGeSCqJHSNGCGedqjwmy', 'imgUrl': 'https://www.example.com/image.jpg', 'productURL': 'https://www.example.com/product', 'stars': 4.1, 'price': 90.77, 'listPrice': 168.44, 'category_id': 53, 'Category': 'Random Category', 'quantity': 3, 'numberOfReviews': 36, 'reviews': []}]",481.69,819556478716203,FZFxvmUK,JnBFgHFqTcqOKkLrQEpfbkL OuYq,oRxZlCMmmgs,Random Country,2024-02-10T00:00:00.000000+00:00
,spiblbhm,5aKWQ1n59G4q6U,"[{'_id': 'dkqqp6rgh3z5nbgrttvr2izw', 'asin': 'JCYQ1000LS', 'title': 'uLlqEhsKPALgwXoljrFleDsDu   aGjcQKfRZgQS NAFTB', 'imgUrl': 'https://www.example.com/image.jpg', 'productURL': 'https://www.example.com/product', 'stars': 3.4, 'price': 14.54, 'listPrice': 38.5, 'category_id': 22, 'Category': 'Random Category', 'quantity': 8, 'numberOfReviews': 24, 'reviews': []}, {'_id': 'js157wqgqvyukszfbi67qcev', 'asin': '9AYVU8017K', 'title': 'UGIwMSibuvDusCoIKkWxAMpyvwmxDbdb', 'imgUrl': 'https://www.example.com/image.jpg', 'productURL': 'https://www.example.com/product', 'stars': 0.8, 'price': 12.16, 'listPrice': 187.23, 'category_id': 98, 'Category': 'Random Category', 'quantity': 2, 'numberOfReviews': 76, 'reviews': []}, {'_id': '61bqpq1sl8a18u95sko9xzq0', 'asin': 'JNZ1X5J2X5', 'title': 'xHcfFuEyHXXTxiFfznWOsXZeosWQbaVWNSwhVJFM', 'imgUrl': 'https://www.example.com/image.jpg', 'productURL': 'https://www.example.com/product', 'stars': 2.7, 'price': 70.5, 'listPrice': 131.78, 'category_id': 28, 'Category': 'Random Category', 'quantity': 2, 'numberOfReviews': 6, 'reviews': []}]",168.81,743230196921683,CzwRauOIABSc,eoNigzXtDmyJdvbVpVYtT,TbqEvdbtfHZjUqe,Random Country,2022-03-24T00:00:00.000000+00:00
,mhzarfmo,HpPuaY6VkWW9tw,"[{'_id': '69rhnudo3h26x6j9b47zbyjp', 'asin': '2NSPU7Y1N5', 'title': 'FieaaMZGKMyaRzmPzhC S iwdGbZEg', 'imgUrl': 'https://www.example.com/image.jpg', 'productURL': 'https://www.example.com/product', 'stars': 4.6, 'price': 48.41, 'listPrice': 104.61, 'category_id': 46, 'Category': 'Random Category', 'quantity': 9, 'numberOfReviews': 64, 'reviews': []}, {'_id': 'wfz88dl8p34jv6ufm9qrx48j', 'asin': 'JPW9WNLEFO', 'title': 'wcSqGSdhuWOsHjywdinjOifvLbeCLrb OqbIjWNCvt', 'imgUrl': 'https://www.example.com/image.jpg', 'productURL': 'https://www.example.com/product', 'stars': 3.0, 'price': 46.97, 'listPrice': 176.71, 'category_id': 93, 'Category': 'Random Category', 'quantity': 5, 'numberOfReviews': 24, 'reviews': []}, {'_id': 'ykb9tjns4ie2621t5k6ycq9c', 'asin': 'R28LLRP288', 'title': 'ZTTFTQUlUztg EuCuxcAaEPKQEzqIahYwShjHyySbstcpeb', 'imgUrl': 'https://www.example.com/image.jpg', 'productURL': 'https://www.example.com/product', 'stars': 2.2, 'price': 92.75, 'listPrice': 60.29, 'category_id': 12, 'Category': 'Random Category', 'quantity': 8, 'numberOfReviews': 39, 'reviews': []}, {'_id': 'li347iqd56yhcgut1m2v8rdb', 'asin': 'ZBDQ2ZIWZ6', 'title': ' pALxaPRL hltfogdGojunNjbUOIPcjfMvGCdVjyo', 'imgUrl': 'https://www.example.com/image.jpg', 'productURL': 'https://www.example.com/product', 'stars': 2.3, 'price': 90.48, 'listPrice': 185.81, 'category_id': 7, 'Category': 'Random Category', 'quantity': 2, 'numberOfReviews': 100, 'reviews': []}]",195.52,127884274705134,rxzyMcOyh,VPBApTSwqJLKibXnS,k Jcm fDE,Random Country,2024-05-26T00:00:00.000000+00:00
,cvctsief,WyAcfmRBa2RDDL,"[{'_id': 'u5haidvz59l9e2kdl9uf1xuj', 'asin': 'JCW9TM6HF4', 'title': 'HjVtGuENlBpKInTKXKxWCgXHeSBdgLlSGWeWO', 'imgUrl': 'https://www.example.com/image.jpg', 'productURL': 'https://www.example.com/product', 'stars': 1.6, 'price': 18.35, 'listPrice': 102.32, 'category_id': 95, 'Category': 'Random Category', 'quantity': 9, 'numberOfReviews': 39, 'reviews': []}, {'_id': '29b6l5nsunzlr0wzz2h4nywl', 'asin': '49UE2RK45F', 'title': 'smcWX HmTZdVxCQxZWWEkcPztGSHFM hPKfAakbDmA esQaBY', 'imgUrl': 'https://www.example.com/image.jpg', 'productURL': 'https://www.example.com/product', 'stars': 2.4, 'price': 15.57, 'listPrice': 12.01, 'category_id': 40, 'Category': 'Random Category', 'quantity': 1, 'numberOfReviews': 79, 'reviews': []}, {'_id': '2tho1gbypd7ex85352mojp1g', 'asin': 'T6WA16Z7JT', 'title': 'HzGOahxRXGfP eVMUYKwNsReWoCPeIhCg', 'imgUrl': 'https://www.example.com/image.jpg', 'productURL': 'https://www.example.com/product', 'stars': 3.6, 'price': 22.95, 'listPrice': 61.35, 'category_id': 98, 'Category': 'Random Category', 'quantity': 8, 'numberOfReviews': 11, 'reviews': []}]",216.88,632201231518454,ekZXBUjsqq,DvGAAddddMhZ,dbyJrTRY,Random Country,2022-09-20T00:00:00.000000+00:00
,irvnxibg,bmzd5ad5DKejxa,"[{'_id': '8wttgjgviw8x1shdn9la0ucw', 'asin': 'HQ99MLQ2J3', 'title': 'ktIoJvYHjqBkIGHDzDgdWpMytuHGumzqsPIXBlSGn', 'imgUrl': 'https://www.example.com/image.jpg', 'productURL': 'https://www.example.com/product', 'stars': 3.9, 'price': 90.2, 'listPrice': 73.74, 'category_id': 46, 'Category': 'Random Category', 'quantity': 8, 'numberOfReviews': 26, 'reviews': []}, {'_id': 'eu1ovym6e9myg4qfy49azp85', 'asin': 'A0AJB8XXRH', 'title': 'cZFfPYtHlUBmYfwyCRqVNTSDVIjGYwXtgYveeFAgaC v', 'imgUrl': 'https://www.example.com/image.jpg', 'productURL': 'https://www.example.com/product', 'stars': 4.9, 'price': 95.35, 'listPrice': 43.21, 'category_id': 19, 'Category': 'Random Category', 'quantity': 2, 'numberOfReviews': 32, 'reviews': []}, {'_id': 'n56ag5cv94f9g0o1mv1kxujd', 'asin': 'H78NZ7RLQO', 'title': 'pEHVKuIJQpifvdRKktdFJcFHDioGmyPlTeOHahtJcxbrP', 'imgUrl': 'https://www.example.com/image.jpg', 'productURL': 'https://www.example.com/product', 'stars': 4.7, 'price': 44.28, 'listPrice': 73.38, 'category_id': 13, 'Category': 'Random Category', 'quantity': 9, 'numberOfReviews': 92, 'reviews': []}]",98.27,803155033291882,PoPJA,xzwragNRijCnjvu,NzUolEIGj ,Random Country,2024-02-16T00:00:00.000000+00:00
